MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,,,
PARC AUTO LA 31.12.2020,,,,,,,,,,,,,,,
CATEGORIA,Numar,Vechime (ani),,,,,,Carburant,,,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Benzina,Motorina,Electric,Hibrid01(benzina+electric),0--4,5--8,9--12,peste 12
,,,,,,,,,,,Hibrid02(motorina+electric),,,,
,,,,,,,,,,,Hibrid03(GPL+electric),,,,
   model 125Z,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model 175,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 400 XS,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 600 R,162,0,0,0,0,17,145,162,0,0,0,0,0,0,162
   model 600 SA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 600TT,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 660,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model AEROX,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model AEROX 100,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model ARTESIA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model BELGARDA,15,0,0,0,0,0,15,15,0,0,0,0,0,0,15
   model BT1100 BULLDOG,40,0,0,0,8,32,0,40,0,0,0,0,0,0,40
"   model BW""S",1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model BW'S,10,0,0,7,3,0,0,10,0,0,0,0,3,7,0
   model CIGNUS 125,19,0,0,0,11,8,0,19,0,0,0,0,0,0,19
   model CJ450,6,0,0,0,6,0,0,6,0,0,0,0,0,1,5
   model CRYPTON,3,0,0,0,2,0,1,3,0,0,0,0,0,0,3
   model CW 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CW65 BW'S65,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CYGNUS,21,0,0,0,0,11,10,21,0,0,0,0,0,0,21
   model CYGNUS X,29,0,0,7,22,0,0,29,0,0,0,0,4,10,15
   model CZD300-A (X-MAX 300),52,52,0,0,0,0,0,52,0,0,0,52,0,0,0
   model CZD300-A SP (X-MAX IRON MAX 300),14,14,0,0,0,0,0,14,0,0,0,14,0,0,0
   model CZD300-A SP (X-MAX TECH MAX 300),13,13,0,0,0,0,0,13,0,0,0,13,0,0,0
   model CZD300-A(X-MAX300),21,0,21,0,0,0,0,21,0,0,0,21,0,0,0
   model D-STAR,6,0,0,0,3,3,0,6,0,0,0,0,0,0,6
   model DARAG STAR XVS1100,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model DELTABOX,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model DELTABOX GENESIS,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model DIVERSION,33,0,0,0,0,3,30,33,0,0,0,0,0,0,33
   model DIVERSION 900,34,0,0,0,0,2,32,34,0,0,0,0,0,0,34
   model DIVERSION 900 S,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model DRAG STAR,5,0,0,0,0,4,1,5,0,0,0,0,0,0,5
   model DRAG STAR 1100,4,0,0,0,0,3,1,4,0,0,0,0,0,0,4
   model DRAG STAR 250,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model DRAG STAR CLASSIC,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3
   model DRAG STAR XVS110,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model DRAG STAR XVS1100,9,0,0,0,2,6,1,9,0,0,0,0,0,0,9
   model DRAGSTAR,244,0,0,0,8,57,179,244,0,0,0,0,0,1,243
   model DRAGSTAR XVS 650,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model DRAGSTAR 1100,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model DRAGSTAR XVS250,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model DT 125 LC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model DT 125 R,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4
   model DT 125R,21,0,0,0,0,2,19,21,0,0,0,0,0,0,21
   model DT 125X,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model DT 80 LC,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model DT125,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model DT125LC,6,0,0,0,0,0,6,6,0,0,0,0,0,0,6
   model DT125R,5,0,0,0,0,1,4,5,0,0,0,0,0,0,5
   model DT125RE,14,0,0,0,5,6,3,14,0,0,0,0,0,0,14
   model DT125RN,6,0,0,0,0,3,3,6,0,0,0,0,0,0,6
   model DT125X,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model DT50R,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model DT80,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model DTR 125,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model F28,8,0,0,7,1,0,0,8,0,0,0,0,4,4,0
   model FAZER,12,0,0,0,0,8,4,12,0,0,0,0,0,0,12
   model FAZER 1000,16,0,0,0,0,16,0,16,0,0,0,0,0,0,16
   model FAZER8 ABS,10,0,1,9,0,0,0,10,0,0,0,0,3,7,0
   model FJ 1200,10,0,0,0,0,0,10,10,0,0,0,0,0,0,10
   model FJ 1200 A,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FJ1100,13,0,0,0,0,0,13,13,0,0,0,0,0,0,13
   model FJ1200,23,0,0,0,0,0,23,23,0,0,0,0,0,0,23
   model FJ1200A,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FJR 13,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model FJR 1300,39,0,0,0,2,37,0,39,0,0,0,0,0,0,39
   model FJR 1300 A,6,0,0,0,0,6,0,6,0,0,0,0,0,0,6
   model FJR1300,59,3,4,13,18,21,0,59,0,0,0,5,8,11,35
   model FJR1300A,65,0,0,2,34,29,0,65,0,0,0,0,1,6,58
   model FJR130AS,6,0,0,0,6,0,0,6,0,0,0,0,0,2,4
   model FLAME,12,0,0,0,0,6,6,12,0,0,0,0,0,0,12
   model FLAME GENIUS,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FRJ 1300,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model FZ 6,3,0,0,0,1,2,0,3,0,0,0,0,0,0,3
   model FZ 750,10,0,0,0,0,0,10,10,0,0,0,0,0,0,10
   model FZ-6 FAZER,49,0,0,0,26,23,0,49,0,0,0,0,0,0,49
   model FZ1,72,0,0,7,65,0,0,72,0,0,0,0,3,18,51
   model FZ1-FAZER,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model FZ1-N,60,0,0,1,59,0,0,60,0,0,0,0,0,7,53
   model FZ1-S,45,0,0,0,45,0,0,45,0,0,0,0,0,3,42
   model FZ1-SA,24,0,0,0,24,0,0,24,0,0,0,0,0,5,19
   model FZ400,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model FZ6,295,0,0,7,255,33,0,295,0,0,0,0,2,60,233
   model FZ6 FAZER,7,0,0,0,3,4,0,7,0,0,0,0,0,0,7
   model FZ6 FAZER,200,0,0,0,1,95,104,200,0,0,0,0,0,0,200
   model FZ6-N,91,0,0,0,28,63,0,91,0,0,0,0,0,0,91
   model FZ6-N FAZER,453,0,0,0,99,354,0,453,0,0,0,0,0,0,453
   model FZ6-NA,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model FZ6-NAHG,6,0,0,1,5,0,0,6,0,0,0,0,0,3,3
   model FZ6-S,125,0,0,4,110,11,0,125,0,0,0,0,1,12,112
   model FZ6-S FAZER,404,0,0,0,121,283,0,404,0,0,0,0,0,1,403
   model FZ6-SA,2,0,0,0,2,0,0,2,0,0,0,0,0,1,1
   model FZ6-SAHG,18,0,0,1,17,0,0,18,0,0,0,0,0,5,13
   model FZ600,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FZ6R,2,0,0,1,1,0,0,2,0,0,0,0,0,2,0
   model FZ750,26,0,0,0,0,0,26,26,0,0,0,0,0,0,26
   model FZ750/A,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model FZ8,66,0,3,50,13,0,0,66,0,0,0,0,17,49,0
   model FZR 1000,23,0,0,0,0,0,23,23,0,0,0,0,0,0,23
   model FZR 1000 GENESIS,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model FZR 250,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model FZR 400,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model FZR 600,30,0,0,0,0,0,30,30,0,0,0,0,0,0,30
   model FZR 600 B,74,0,0,0,0,0,74,74,0,0,0,0,0,0,74
   model FZR 600 R,62,0,0,0,0,0,62,62,0,0,0,0,0,0,62
   model FZR 600R,6,0,0,0,0,0,6,6,0,0,0,0,0,0,6
   model FZR 6OOR,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FZR1000,88,0,0,0,0,1,87,88,0,0,0,0,0,0,88
   model FZR1000 R,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4
   model FZR1000R,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FZR600,13,0,0,0,0,0,13,13,0,0,0,0,0,0,13
   model FZR600A,7,0,0,0,0,0,7,7,0,0,0,0,0,0,7
   model FZR600R,17,0,0,0,0,0,17,17,0,0,0,0,0,0,17
   model FZR750,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FZS 1000,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4
   model FZS 600,48,0,0,0,0,31,17,48,0,0,0,0,0,0,48
   model FZS 600 FAZER,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FZS1000,26,0,0,0,8,18,0,26,0,0,0,0,0,0,26
   model FZS1000 FAZER,51,0,0,0,0,51,0,51,0,0,0,0,0,0,51
   model FZS600 FAZER,11,0,0,0,0,3,8,11,0,0,0,0,0,0,11
   model FZX750,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model GENESIS,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model GENESIS FZ,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model GPD125-A,43,0,40,3,0,0,0,43,0,0,0,8,35,0,0
   model GPD125-A (NMAX),43,25,18,0,0,0,0,43,0,0,0,43,0,0,0
   model GPD150-A,33,14,19,0,0,0,0,33,0,0,0,33,0,0,0
   model GPD150-A (NMAX155),15,15,0,0,0,0,0,15,0,0,0,15,0,0,0
   model GTS 1000,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model GTS 1000A,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model GTS1000A,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model HURICANE,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model HW 151,2,0,0,2,0,0,0,2,0,0,0,0,2,0,0
   model HW125,6,0,1,5,0,0,0,6,0,0,0,0,6,0,0
   model HW151,7,0,3,4,0,0,0,7,0,0,0,3,1,3,0
   model LTS125-C,5,1,4,0,0,0,0,5,0,0,0,5,0,0,0
   model MAJESTIC 150,2,0,0,0,0,1,1,2,0,0,0,0,0,0,2
   model MAJESTY,394,0,0,0,3,121,270,394,0,0,0,0,0,0,394
   model MAJESTY 125,32,0,0,0,1,6,25,32,0,0,0,0,0,0,32
   model MAJESTY 150,63,0,0,0,0,46,17,63,0,0,0,0,0,0,63
   model MAJESTY DX,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model MAJESTY S,2,0,1,1,0,0,0,2,0,0,0,0,2,0,0
   model MAXIM XJ700X,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model MAXIM-X,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model MAXIMA,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model MAXSTER 125,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2
   model MAXTER 125,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model MBK,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model MBK FLAME R,12,0,0,0,0,2,10,12,0,0,0,0,0,0,12
   model MIDNIGHT STAR,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model MIDNIGHT VENTURE,3,0,0,0,1,2,0,3,0,0,0,0,0,0,3
   model MT 03,133,0,0,2,127,4,0,133,0,0,0,0,0,23,110
   model MT-07,122,1,41,80,0,0,0,122,0,0,0,6,116,0,0
   model MT-07 TRACER,31,4,27,0,0,0,0,31,0,0,0,26,5,0,0
   model MT-09,119,0,38,81,0,0,0,119,0,0,0,2,117,0,0
   model MT-09 TRACER,22,0,22,0,0,0,0,22,0,0,0,22,0,0,0
   model MT-125,29,9,20,0,0,0,0,29,0,0,0,29,0,0,0
   model MT01,22,0,0,0,14,8,0,22,0,0,0,0,0,1,21
   model MT03,78,0,0,3,72,3,0,78,0,0,0,0,1,2,75
   model MT07A,44,2,42,0,0,0,0,44,0,0,0,44,0,0,0
   model MT07A (MT--07 ABS),1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model MT07A (MT-07 ABS),1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model MT07A(MT-07 ABS),1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model MT125,9,0,2,7,0,0,0,9,0,0,0,2,7,0,0
   model MT125A,20,0,15,5,0,0,0,20,0,0,0,2,18,0,0
   model MTM690 (XSR700),9,9,0,0,0,0,0,9,0,0,0,9,0,0,0
   model MTM690D (XSR700 XTRIBUTE),2,2,0,0,0,0,0,2,0,0,0,2,0,0,0
   model MTM850,6,0,6,0,0,0,0,6,0,0,0,4,2,0,0
   model MTM850 (XSR900),3,2,1,0,0,0,0,3,0,0,0,3,0,0,0
   model MTN1000,8,1,7,0,0,0,0,8,0,0,0,5,3,0,0
   model MTN1000 (MT-10),9,7,2,0,0,0,0,9,0,0,0,9,0,0,0
   model MTN1000D (MT-10 SP),1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model MTN125-A,8,8,0,0,0,0,0,8,0,0,0,8,0,0,0
   model MTN320-A,10,0,10,0,0,0,0,10,0,0,0,3,7,0,0
   model MTN320-A (MT-03),26,18,8,0,0,0,0,26,0,0,0,26,0,0,0
   model MTN690-A (MT-07),113,78,35,0,0,0,0,113,0,0,0,113,0,0,0
   model MTN690-U,3,2,1,0,0,0,0,3,0,0,0,3,0,0,0
   model MTN690-U (MT-07),22,17,5,0,0,0,0,22,0,0,0,22,0,0,0
   model MTN690-U(MT-07),1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
   model MTN850-A (MT-09 ABS),28,7,21,0,0,0,0,28,0,0,0,28,0,0,0
   model MTN850-A(MT-09 ABS),37,21,16,0,0,0,0,37,0,0,0,37,0,0,0
   model MTN850D (MT-09SP),10,8,2,0,0,0,0,10,0,0,0,10,0,0,0
   model MTT690-A,5,5,0,0,0,0,0,5,0,0,0,5,0,0,0
   model MTT690-A (TRACER 700),3,0,3,0,0,0,0,3,0,0,0,3,0,0,0
   model MTT690-A (TRACER700),4,4,0,0,0,0,0,4,0,0,0,4,0,0,0
   model MTT690-U,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
   model MTT850 (TRACER900),24,18,6,0,0,0,0,24,0,0,0,24,0,0,0
   model MTT850D (TRACER900 GT),42,37,5,0,0,0,0,42,0,0,0,42,0,0,0
   model MW125,16,0,11,5,0,0,0,16,0,0,0,4,12,0,0
   model MWS125-A,3,2,1,0,0,0,0,3,0,0,0,3,0,0,0
   model MWS150,6,2,4,0,0,0,0,6,0,0,0,6,0,0,0
   model MXT850(NIKEN),2,1,1,0,0,0,0,2,0,0,0,2,0,0,0
   model MXT850D(NIKEN GT),1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
   model NEO'S,3,0,0,0,0,1,2,3,0,0,0,0,0,0,3
   model NOUVO SX,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model OVETTO,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model OVETTO 100,2,0,0,0,0,1,1,2,0,0,0,0,0,0,2
   model R 6,5,0,0,0,5,0,0,5,0,0,0,0,0,0,5
   model R1,12,0,0,0,5,2,5,12,0,0,0,0,0,4,8
   model R6,181,0,0,0,7,173,1,181,0,0,0,0,0,2,179
   model R6 YZF,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model RAIDER 1900,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2
   model RAIDER 1900,5,0,0,1,4,0,0,5,0,0,0,0,1,2,2
   model RD 125 LC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RD 350LC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RD250,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RD350 YPVS,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RD350LC,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model ROAD STAR,3,0,0,0,0,2,1,3,0,0,0,0,0,0,3
   model ROAD STAR SILVERADO,4,0,0,0,3,1,0,4,0,0,0,0,0,0,4
   model ROAD STAR WARRIOR,10,0,0,0,6,4,0,10,0,0,0,0,0,0,10
   model ROAD STAR XV1700,2,0,0,0,1,1,0,2,0,0,0,0,0,0,2
   model ROAD STAR XV1700A,5,0,0,0,3,2,0,5,0,0,0,0,0,0,5
   model ROAD-STAR,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model ROADLINER,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2
   model ROADSTAR XV1700A,4,0,0,0,4,0,0,4,0,0,0,0,0,0,4
   model ROYAL STAR,37,0,0,0,6,5,26,37,0,0,0,0,0,1,36
   model ROYAL STAR XVZ1300CT,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2
   model RS STAR CLASSIC,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model RX80,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model SCR 950,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model SEROW 225,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SKYLINER,143,0,0,0,0,45,98,143,0,0,0,0,0,0,143
   model SKYLINER 150,42,0,0,0,0,30,12,42,0,0,0,0,0,0,42
   model SR 125,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model SR 250,18,0,0,0,0,0,18,18,0,0,0,0,0,0,18
   model SR125,77,0,0,0,0,7,70,77,0,0,0,0,0,0,77
   model SR250,21,0,0,0,0,2,19,21,0,0,0,0,0,0,21
   model SR250SP,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model SR400,4,0,1,3,0,0,0,4,0,0,0,0,4,0,0
   model SR500,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4
   model SRV,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SRV250,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SRX 600,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SRX-600,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model STAR CLASSIC,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model STAR RIDER,7,0,0,1,6,0,0,7,0,0,0,0,0,4,3
   model STRATOLINER,15,0,0,4,11,0,0,15,0,0,0,0,2,2,11
   model SUPER TENERE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SZR 660,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model SZR660,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model T MAX,7,0,0,0,0,7,0,7,0,0,0,0,0,0,7
   model T MAX 500,63,0,0,0,0,63,0,63,0,0,0,0,0,0,63
   model T-MAX,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4
   model T-MAX 500,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3
   model T01,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model T110,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model T110 CRYPTON R,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2
   model T115FL-5C (CRYPTON S),2,1,1,0,0,0,0,2,0,0,0,2,0,0,0
   model T135,8,0,0,0,8,0,0,8,0,0,0,0,0,5,3
   model TDM,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model TDM 850,188,0,0,0,0,33,155,188,0,0,0,0,0,0,188
   model TDM 850 TWIN,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4
   model TDM 900,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model TDM850,203,0,0,0,0,32,171,203,0,0,0,0,0,0,203
   model TDM900,149,0,0,3,13,132,1,149,0,0,0,0,2,5,142
   model TDM900A,84,0,0,1,42,41,0,84,0,0,0,0,0,4,80
   model TDR 125,6,0,0,0,0,2,4,6,0,0,0,0,0,0,6
   model TDR125,38,0,0,0,0,9,29,38,0,0,0,0,0,0,38
   model TDR125 R,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model TENERE,103,0,0,7,59,0,37,103,0,0,0,0,0,42,61
   model TIEO'S,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model TMAX,4,0,0,0,0,4,0,4,0,0,0,0,0,0,4
   model TMAX 500,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2
   model TOWNMATE T80,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model TRICKER,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model TRX850,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model TT 250 R,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model TT-R 250,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model TT250R,2,0,0,0,0,1,1,2,0,0,0,0,0,0,2
   model TT350,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model TT350B,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model TT350S,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model TT600,46,0,0,0,0,18,28,46,0,0,0,0,0,0,46
   model TT600R,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model TT600RE,5,0,0,0,0,5,0,5,0,0,0,0,0,0,5
   model TT600S,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model TTR.250,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model TTR600,25,0,0,0,0,8,17,25,0,0,0,0,0,0,25
   model TW 125,29,0,0,0,0,9,20,29,0,0,0,0,0,0,29
   model TW 125 TRAILWAY,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model TW 200,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model TW 200E,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model TW125,6,0,0,0,0,6,0,6,0,0,0,0,0,0,6
   model TW200,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model TZR,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model TZR 125,6,0,0,0,0,0,6,6,0,0,0,0,0,0,6
   model TZR 80 RR,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model TZR125,6,0,0,0,0,0,6,6,0,0,0,0,0,0,6
   model TZR125R,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model V MAX,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model V STAR,10,0,0,0,4,3,3,10,0,0,0,0,0,2,8
   model V-MAX,44,0,0,3,11,4,26,44,0,0,0,0,2,10,32
   model V-MAX 1200,6,0,0,0,0,2,4,6,0,0,0,0,0,0,6
   model V-MAX1200,3,0,0,0,0,1,2,3,0,0,0,0,0,0,3
   model V-STAR,5,0,0,0,3,2,0,5,0,0,0,0,0,0,5
   model V-STAR 1100,3,0,0,0,0,2,1,3,0,0,0,0,0,0,3
   model V-STAR 650,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model V-STAR CLASSIC CRUISER,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model V-STAR SILVERADO CLASIC,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model V-STAR XVS1100,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model VENTURE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model VENTURE ROYAL,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model VENTURE ROYAL STAR,3,0,0,0,0,1,2,3,0,0,0,0,0,0,3
   model VENTURE ROYALE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model VERSITY XC300,53,0,0,0,19,34,0,53,0,0,0,0,0,0,53
   model VIGARO,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model VIRAGO,462,0,0,0,2,8,452,462,0,0,0,0,0,0,462
   model VIRAGO 1100,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model VIRAGO 535,12,0,0,0,0,0,12,12,0,0,0,0,0,0,12
   model VIRAGO XV250,97,0,0,0,0,0,97,97,0,0,0,0,0,0,97
   model VIRAGO XV500L,27,0,0,0,0,0,27,27,0,0,0,0,0,0,27
   model VIRAGO XV535,383,0,0,0,0,0,383,383,0,0,0,0,0,0,383
   model VIRAGO XV750,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model VITY,4,0,0,0,4,0,0,4,0,0,0,0,0,2,2
   model VMAX 1200,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4
   model VMX17,3,0,2,1,0,0,0,3,0,0,0,1,2,0,0
   model WARRIOR,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3
   model WHY,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model WILD STAR,13,0,0,0,0,5,8,13,0,0,0,0,0,0,13
   model WILDSTAR,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model WR,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model WR 250 F,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model WR 250F,5,0,0,0,5,0,0,5,0,0,0,0,0,0,5
   model WR 426 F,10,0,0,0,0,10,0,10,0,0,0,0,0,0,10
   model WR 426F,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2
   model WR 450,14,0,1,1,12,0,0,14,0,0,0,1,1,1,11
   model WR 450 F,22,0,0,0,0,22,0,22,0,0,0,0,0,0,22
   model WR 450F,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model WR125R,15,0,1,8,6,0,0,15,0,0,0,0,4,11,0
   model WR125X,28,0,0,14,14,0,0,28,0,0,0,0,8,20,0
   model WR200R,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model WR250,13,0,1,4,8,0,0,13,0,0,0,1,1,8,3
   model WR250F,83,0,4,7,35,37,0,83,0,0,0,3,4,9,67
   model WR250R,38,0,1,6,31,0,0,38,0,0,0,0,3,14,21
   model WR250X,9,0,0,3,6,0,0,9,0,0,0,0,1,4,4
   model WR400,12,0,0,0,0,3,9,12,0,0,0,0,0,0,12
   model WR400F,27,0,0,0,0,4,23,27,0,0,0,0,0,0,27
   model WR450,18,0,0,11,7,0,0,18,0,0,0,0,4,12,2
   model WR450F,48,0,0,3,27,18,0,48,0,0,0,0,0,6,42
   model X CITY,45,0,0,6,39,0,0,45,0,0,0,0,1,18,26
   model X-CITY,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
   model X-MAX 125,3,1,2,0,0,0,0,3,0,0,0,3,0,0,0
   model X-MAX 300,25,5,20,0,0,0,0,25,0,0,0,25,0,0,0
