MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,
PARC AUTO LA 31.12.2019,,,,,,,,,,,,,
CATEGORIA DE FOLOSINTA,Numar,Vechime (ani),,,,,,Carburant,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Motorina,Benzina,0--4,5--8,9--12,peste 12
   model IXION,2,0,2,0,0,0,0,2,0,2,0,0,0
   model JEWEL,3,1,2,0,0,0,0,3,0,2,1,0,0
   model MYTHOS,2,2,0,0,0,0,0,2,0,2,0,0,0
 total marca BLUEBIRD,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca BMC,936,81,6,43,766,39,1,936,0,87,18,320,511
   model 215 SCB,6,0,0,4,2,0,0,6,0,0,3,1,2
   model 285 CB,1,0,0,1,0,0,0,1,0,0,0,1,0
   model 320 PROCITY,15,0,0,15,0,0,0,15,0,0,15,0,0
   model 850 TBX,2,0,0,0,2,0,0,2,0,0,0,2,0
   model 850TBX,13,0,0,0,13,0,0,13,0,0,0,10,3
   model MIDILUX L,73,0,0,13,60,0,0,73,0,0,0,73,0
   model NEOCITY,22,16,6,0,0,0,0,22,0,22,0,0,0
   model PROBUS,14,0,0,0,14,0,0,14,0,0,0,6,8
   model PROCITY,69,65,0,4,0,0,0,69,0,65,0,4,0
   model TBX,29,0,0,0,29,0,0,29,0,0,0,0,29
   model nespecificat,692,0,0,6,646,39,1,692,0,0,0,223,469
 total marca BOVA,343,0,0,5,95,143,100,343,0,0,0,35,308
   model 370,1,0,0,0,0,1,0,1,0,0,0,0,1
   model BOVA FUTURA,3,0,0,0,2,1,0,3,0,0,0,1,2
   model F12,1,0,0,0,0,0,1,1,0,0,0,0,1
   model F12 FUTURA,2,0,0,0,0,1,1,2,0,0,0,0,2
   model FDH15,1,0,0,0,0,1,0,1,0,0,0,0,1
   model FHD 10-340 A,1,0,0,0,0,0,1,1,0,0,0,0,1
   model FHD 12.380XE,1,0,0,0,0,1,0,1,0,0,0,0,1
   model FHD 13.340,1,0,0,0,0,1,0,1,0,0,0,0,1
   model FHD 13.380,1,0,0,0,1,0,0,1,0,0,0,0,1
   model FHD12-370,1,0,0,0,0,0,1,1,0,0,0,0,1
   model FHD12.370,1,0,0,0,0,0,1,1,0,0,0,0,1
   model FHD127,1,0,0,1,0,0,0,1,0,0,0,1,0
   model FHD127.365,1,0,0,1,0,0,0,1,0,0,0,1,0
   model FLD12.300A,1,0,0,0,0,0,1,1,0,0,0,0,1
   model FUTURA,118,0,0,3,44,43,28,118,0,0,0,23,95
   model FUTURA 13M,3,0,0,0,3,0,0,3,0,0,0,0,3
   model FUTURA 380,1,0,0,0,0,1,0,1,0,0,0,0,1
   model FUTURA FHD 12.370,1,0,0,0,0,0,1,1,0,0,0,0,1
   model FUTURA FHD14.430XE,1,0,0,0,0,1,0,1,0,0,0,0,1
   model FUTURA FHDA,1,0,0,0,0,1,0,1,0,0,0,0,1
   model MAGIC12.2,1,0,0,0,1,0,0,1,0,0,0,0,1
   model MAGIQ,29,0,0,0,16,13,0,29,0,0,0,7,22
   model MAGIQ MHD122,2,0,0,0,2,0,0,2,0,0,0,2,0
   model SBR4000,1,0,0,0,1,0,0,1,0,0,0,0,1
   model nespecificat,168,0,0,0,25,78,65,168,0,0,0,0,168
 total marca BREDA,40,0,0,0,0,0,40,40,0,0,0,0,40
   model nespecificat,40,0,0,0,0,0,40,40,0,0,0,0,40
 total marca BUSCAR,1,0,0,1,0,0,0,1,0,0,1,0,0
   model nespecificat,1,0,0,1,0,0,0,1,0,0,1,0,0
 total marca BUSSING,1,0,0,0,0,0,1,1,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,1
 total marca BYD,3,0,2,1,0,0,0,0,0,0,3,0,0
   model BYD EBUS,2,0,2,0,0,0,0,0,0,0,2,0,0
   model EBUS-GREENCITY,1,0,0,1,0,0,0,0,0,0,1,0,0
 total marca CIBRO,1,0,0,1,0,0,0,1,0,0,1,0,0
   model TRITURO,1,0,0,1,0,0,0,1,0,0,1,0,0
 total marca DAB,5,0,0,0,0,0,5,5,0,0,0,0,5
