MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,,,
PARC AUTO LA 31.12.2021,,,,,,,,,,,,,,,
CATEGORIA,Numar,Vechime (ani),,,,,,Carburant,,,,Vechime (ani),,,
   model SPRINTER 315 CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model SPRINTER 316 CDI,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0
   model SPRINTER 316CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model SPRINTER 318 CDI,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model V 220CDI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model V-KLASSE,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model V220 CDI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model VIANO,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0
   model VITO,6,0,0,3,3,0,0,0,6,0,0,0,0,6,0
   model VITO 115CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
 total marca MERCEDE -BENZ,24,3,8,7,2,1,3,3,18,0,3,10,7,1,6
   model 200D,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 380SL,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model A 220 D,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model C220 CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model C350,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model CLA 200 D,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model CLS 220 BLUETEC,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0
   model E 300,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
   model E 300 D,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0
   model GLC 300 4MATIC,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
   model GT AMG,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model S550E,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
   model SPRINTER,5,0,2,1,1,0,1,0,5,0,0,2,0,1,2
   model V220D,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model VITO TOURER,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0
 total marca MERCEDES,5,0,0,5,0,0,0,5,0,0,0,0,5,0,0
   model CLA 45 AMG 4MATIC,5,0,0,5,0,0,0,5,0,0,0,0,5,0,0
 total marca MERCEDES - BENZ,2067,1195,312,171,158,105,126,428,1088,80,466,1431,211,108,317
   model 190 D,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model 190D,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 190E,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model 200 D,3,0,0,0,0,0,3,0,3,0,0,0,0,0,3
   model 200 E,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model 200D,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model 200E,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 211 CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model 220 CE,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model 220 D,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 220 D/8,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 220D,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 230,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 230 C,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 230 CE,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model 230 E,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model 230 GE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 230 TE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 230C,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 230CE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 230E,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 240 D,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 240D,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 250 CE AUTOMATIC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 250 D,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 250D,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 280 CE,4,0,0,0,0,0,4,4,0,0,0,0,0,0,4
   model 280 SE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 280CE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 300 CE,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model 300 D,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 300 E,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 300 GD,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model 300 SE 3.2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 300 SL-24,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 300E,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 308 CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model 380 SEC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 500SEL,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model 500SL,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model 560 SEC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model 560SL,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model A 140,6,0,0,0,0,0,6,6,0,0,0,0,0,0,6
   model A 160,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model A 160 CDI,2,0,0,0,1,0,1,0,2,0,0,0,0,1,1
   model A 160CDI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model A 170 CDI,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model A 180,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0
   model A 180 CDI,3,0,0,3,0,0,0,0,3,0,0,0,3,0,0
   model A 180 D,5,1,4,0,0,0,0,0,5,0,0,5,0,0,0
   model A 200,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0
   model A 200 CDI,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2
   model A 200 D 4MATIC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model A 220 D,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model A 250,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model A 250 4MATIC,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model A 250 E,76,76,0,0,0,0,0,0,0,0,76,76,0,0,0
   model A140,7,0,0,0,0,0,7,7,0,0,0,0,0,0,7
   model A150,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model A160,8,0,0,0,0,0,8,8,0,0,0,0,0,0,8
   model A160CDI,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2
   model A170 CDI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model A170CDI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model A180CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model A200,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model AMG A 35,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0
   model AMG A 45,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
   model AMG A 45 S,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0
   model AMG C 63,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model AMG CLA 35,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0
   model AMG CLA 45,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0
   model AMG CLS 53 4MATIC,9,1,8,0,0,0,0,0,0,0,9,9,0,0,0
   model AMG CLS 63 4MATIC,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
   model AMG E 53 4MATIC,20,15,5,0,0,0,0,0,0,0,20,20,0,0,0
   model AMG E43 4MATIC,2,0,2,0,0,0,0,2,0,0,0,0,2,0,0
   model AMG GLA 35,4,4,0,0,0,0,0,4,0,0,0,4,0,0,0
   model AMG GLB 35,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0
   model AMG GLC 43 4MATIC,3,2,1,0,0,0,0,3,0,0,0,3,0,0,0
   model AMG GLE 63,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model AMG GT 43 4MATIC+,3,1,2,0,0,0,0,0,0,0,3,3,0,0,0
   model AMG GT 53 4MATIC+,3,3,0,0,0,0,0,0,0,0,3,3,0,0,0
   model AMG GT-R,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model AMG S 63 4MATIC,5,2,3,0,0,0,0,5,0,0,0,5,0,0,0
   model B 170,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model B 180 CDI,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4
   model B 180 CDI,25,0,0,1,18,6,0,0,25,0,0,0,0,15,10
   model B 180 D,14,14,0,0,0,0,0,0,14,0,0,14,0,0,0
   model B 200,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model B 200 C,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
   model B 200 CDI,4,0,0,1,3,0,0,0,4,0,0,0,0,1,3
   model B 200 D,3,2,1,0,0,0,0,0,3,0,0,3,0,0,0
   model B 220 D 4MATIC,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model B200CDI,4,0,0,0,4,0,0,0,4,0,0,0,0,0,4
   model C 180,2,0,1,1,0,0,0,2,0,0,0,1,0,1,0
   model C 180 BLUETEC,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model C 180 CDI,10,0,0,0,10,0,0,0,10,0,0,0,0,10,0
   model C 180 D,17,0,13,4,0,0,0,0,17,0,0,11,6,0,0
   model C 180 KOMPRESSOR,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2
   model C 200,7,1,4,2,0,0,0,3,0,0,4,4,3,0,0
   model C 200 4MATIC,5,4,1,0,0,0,0,0,0,0,5,5,0,0,0
   model C 200 BLUETEC,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model C 200 CDI,6,0,0,0,3,3,0,0,6,0,0,0,0,1,5
   model C 200 D,10,0,6,4,0,0,0,0,10,0,0,3,7,0,0
   model C 220 CDI,24,0,0,4,11,9,0,0,24,0,0,0,2,6,16
   model C 220 D,14,0,9,5,0,0,0,0,13,0,1,5,9,0,0
   model C 220 D 4MATIC,21,12,9,0,0,0,0,0,20,0,1,17,4,0,0
   model C 220D,4,0,4,0,0,0,0,0,4,0,0,0,4,0,0
   model C 250 BRABUS D4S,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model C 250 CDI,2,0,0,2,0,0,0,0,2,0,0,0,0,2,0
   model C 250 D,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model C 250 D 4MATIC,4,0,0,4,0,0,0,0,2,0,2,0,4,0,0
   model C 300,9,0,8,1,0,0,0,9,0,0,0,8,1,0,0
   model C 300 4MATIC,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0
   model C 300 D 4MATIC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model C 300 DE,2,1,1,0,0,0,0,0,0,0,2,2,0,0,0
   model C 300 E,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0
   model C 320,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model C180 D,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model C180 KOMPRESSOR,2,0,0,0,0,2,0,2,0,0,0,0,0,0,2
   model C200,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
   model C200 CDI,2,0,0,0,1,1,0,0,2,0,0,0,0,1,1
   model C200KOMPRESSOR,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model C220 CDI,8,0,0,0,5,3,0,0,8,0,0,0,0,0,8
   model C220CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model C250,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model C250 CDI,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
   model C280,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model C300,2,0,1,1,0,0,0,2,0,0,0,0,2,0,0
   model C43 AMG,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CITAN,10,0,5,5,0,0,0,0,10,0,0,3,7,0,0
   model CL 500,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model CLA,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model CLA 180,13,10,3,0,0,0,0,13,0,0,0,13,0,0,0
   model CLA 180 D,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model CLA 180D,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model CLA 200,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0
   model CLA 200 CDI,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model CLA 200 D,3,0,1,2,0,0,0,0,3,0,0,0,3,0,0
   model CLA 220 CDI 4MATIC,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model CLA 220 D 4MATIC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model CLA 250,4,0,1,3,0,0,0,4,0,0,0,0,4,0,0
   model CLA 250 4MATIC,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0
   model CLA180,5,0,5,0,0,0,0,5,0,0,0,5,0,0,0
   model CLC 200 CDI,3,0,0,0,3,0,0,0,3,0,0,0,0,1,2
   model CLC 200 KOMPRESSOR,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model CLC 220 CDI,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model CLK 200 KOMPRESS0R,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CLK 200 KOMPRESSOR,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model CLK 230 KOMPRESSOR,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CLK 270 CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model CLS 220 D,4,1,3,0,0,0,0,0,4,0,0,4,0,0,0
   model CLS 250 BLUETEC,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0
   model CLS 320 CDI,7,0,0,0,5,2,0,0,7,0,0,0,0,0,7
   model CLS 350,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model CLS 350 CDI,3,0,0,2,1,0,0,0,3,0,0,0,0,3,0
   model CLS 350 CDI 4MATIC,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model CLS 400 D 4MATIC,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model CLS 450 4MATIC,3,2,1,0,0,0,0,0,0,0,3,3,0,0,0
   model CLS220,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model E 200,6,2,3,0,0,0,1,3,0,0,3,5,0,0,1
   model E 200 4MATIC,7,0,7,0,0,0,0,6,0,0,1,6,1,0,0
   model E 200 BLUETEC,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model E 200 CDI,9,0,0,5,3,0,1,0,9,0,0,0,0,7,2
   model E 200 CGI,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model E 200 D,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model E 200 KOMPRESOR,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
   model E 200 KOMPRESSOR,4,0,0,0,0,3,1,1,0,0,0,0,0,0,4
   model E 212 CDI,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model E 220,2,0,0,1,1,0,0,0,2,0,0,0,1,0,1
   model E 220 CDI,18,0,0,2,10,6,0,0,18,0,0,0,0,3,15
   model E 220 D,46,5,39,1,0,0,1,0,45,0,1,35,10,0,1
   model E 220 D 4MATIC,32,27,5,0,0,0,0,0,32,0,0,31,1,0,0
   model E 220 KOMBI,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model E 220D,14,7,5,2,0,0,0,0,7,0,7,10,4,0,0
   model E 220D LIMOUSINE,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model E 240,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model E 250,2,0,2,0,0,0,0,2,0,0,0,2,0,0,0
   model E 250 CDI,4,0,0,0,4,0,0,0,4,0,0,0,0,4,0
   model E 250 E,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
   model E 270 CDI,14,0,0,0,0,14,0,0,14,0,0,0,0,0,14
   model E 280CDI 4MATIC,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model E 300,5,1,4,0,0,0,0,3,0,0,2,5,0,0,0
   model E 300 CDI,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
   model E 300 D,3,1,1,0,0,0,1,0,3,0,0,2,0,0,1
   model E 300 DE,2,2,0,0,0,0,0,0,0,0,2,2,0,0,0
   model E 300 E,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
   model E 320 CDI,2,0,0,0,0,0,2,0,2,0,0,0,0,0,2
   model E 350,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
   model E 350 BLUETEC,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model E 350 CDI,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
   model E 350 CDI 4MATIC,4,0,1,0,3,0,0,0,4,0,0,0,1,3,0
   model E 350 D,3,0,2,1,0,0,0,0,3,0,0,1,2,0,0
   model E 350D 4MATIC,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model E 400 D 4 MATIC,8,2,6,0,0,0,0,0,8,0,0,8,0,0,0
   model E 400 D 4MATIC,3,0,3,0,0,0,0,0,3,0,0,3,0,0,0
   model E 400 D MATIC ALLTERAIN,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model E200,2,1,0,0,0,1,0,1,0,0,1,1,0,0,1
   model E200 CDI,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model E200 KOMPRESOR,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model E220,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model E220 CDI,2,0,0,0,1,1,0,0,2,0,0,0,0,1,1
   model E220CDI,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2
   model E280CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model E300,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model E300D,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model E300E,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0
   model E350D,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model E55AMG,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model EQA 250,75,75,0,0,0,0,0,0,0,75,0,75,0,0,0
   model EQA 300 4MATIC,4,4,0,0,0,0,0,0,0,4,0,4,0,0,0
   model EQA 350 4MATIC,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
   model G,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model GL 350,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
   model GLA 180,5,1,4,0,0,0,0,5,0,0,0,5,0,0,0
   model GLA 180 CDI,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0
   model GLA 180 D,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0
   model GLA 200,72,70,1,1,0,0,0,72,0,0,0,71,1,0,0
   model GLA 200 4MATIC,11,11,0,0,0,0,0,11,0,0,0,11,0,0,0
   model GLA 200 D,8,8,0,0,0,0,0,0,8,0,0,8,0,0,0
   model GLA 200 D 4MATIC,188,188,0,0,0,0,0,19,169,0,0,188,0,0,0
   model GLA 220 CD1,2,0,0,2,0,0,0,0,2,0,0,0,2,0,0
   model GLA 220 D,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model GLA 220 D 4MATIC,53,53,0,0,0,0,0,0,53,0,0,53,0,0,0
   model GLA 250,3,3,0,0,0,0,0,3,0,0,0,3,0,0,0
   model GLA 250 4MATIC,59,59,0,0,0,0,0,59,0,0,0,59,0,0,0
   model GLA 250 E,8,8,0,0,0,0,0,0,0,0,8,8,0,0,0
   model GLB 180,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0
   model GLB 180 D,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model GLB 200,13,13,0,0,0,0,0,13,0,0,0,13,0,0,0
   model GLB 200 4MATIC,9,9,0,0,0,0,0,9,0,0,0,9,0,0,0
   model GLB 200 D,8,8,0,0,0,0,0,0,8,0,0,8,0,0,0
   model GLB 200 D 4MATIC,49,49,0,0,0,0,0,0,49,0,0,49,0,0,0
   model GLB 220 D 4MATIC,52,52,0,0,0,0,0,0,52,0,0,52,0,0,0
   model GLB 250 4MATIC,32,32,0,0,0,0,0,32,0,0,0,32,0,0,0
   model GLC 200 4MATIC,12,7,5,0,0,0,0,0,0,0,12,12,0,0,0
   model GLC 200 D 4MATIC,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model GLC 220 D 4MATIC,14,3,6,5,0,0,0,0,12,0,2,7,7,0,0
   model GLC 220D 4MATIC,2,0,2,0,0,0,0,0,2,0,0,2,0,0,0
   model GLC 250 D 4MATIC,16,0,7,9,0,0,0,0,15,0,1,4,12,0,0
   model GLC 300 4MATIC,25,16,8,1,0,0,0,3,0,0,22,24,1,0,0
   model GLC 300 D 4MATIC,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0
   model GLC 300 DE 4MATIC,16,16,0,0,0,0,0,0,0,0,16,16,0,0,0
   model GLC 300 E 4MATIC,231,230,1,0,0,0,0,0,0,0,231,231,0,0,0
   model GLC 300D 4MATIC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model GLC 350 D 4MATIC,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model GLC 350 D4MATIC,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
   model GLC 350 E 4MATIC,7,0,7,0,0,0,0,0,0,0,7,4,3,0,0
   model GLC 400 D 4MATIC,3,1,2,0,0,0,0,0,3,0,0,3,0,0,0
   model GLE 250 D,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model GLE 250 D 4MATIC,5,0,0,5,0,0,0,0,5,0,0,0,5,0,0
   model GLE 300 D 4MATIC,4,2,2,0,0,0,0,0,4,0,0,4,0,0,0
   model GLE 350 D 4MATIC,4,1,2,1,0,0,0,0,4,0,0,3,1,0,0
   model GLE 350 D 4MATIC COUPE,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0
   model GLE 350 DE 4MATIC COUPE,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0
   model GLE 350D 4MATIC,9,0,9,0,0,0,0,0,9,0,0,9,0,0,0
   model GLE 400 D 4MATIC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model GLE 450 4MATIC,4,4,0,0,0,0,0,0,0,0,4,4,0,0,0
   model GLK 350 CDI 4MATIC,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model GLK220 CDI 4MATIC,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model GLK220CDI,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0
   model ML 250 BLUETEC 4MATIC,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model ML 270 CDI,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2
   model ML270,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model ML270CDI,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2
   model ML320,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model ML320 CDI,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
   model ML350,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
   model R 350 CDI 4MATIC,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0
   model S 300 BLUETEC HYBRID,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
   model S 320 CDI,4,0,0,0,0,4,0,0,4,0,0,0,0,0,4
   model S 350 BLUETEC 4MATIC,3,0,0,2,1,0,0,0,3,0,0,0,2,1,0
   model S 350 D,10,0,10,0,0,0,0,0,10,0,0,2,8,0,0
   model S 350 D 4MATIC,10,9,1,0,0,0,0,0,10,0,0,9,1,0,0
   model S 400 4MATIC,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
   model S 400 D 4MATIC,3,2,1,0,0,0,0,0,3,0,0,2,1,0,0
   model S 420 CDI,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model S 450,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
   model S 450 4MATIC,2,0,2,0,0,0,0,0,0,0,2,2,0,0,0
   model S 63 4 MATIC,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
   model S320,2,0,0,0,0,2,0,0,2,0,0,0,0,0,2
   model S350 D 4MATIC,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
   model S350D 4MATIC,6,6,0,0,0,0,0,0,6,0,0,6,0,0,0
   model S400D 4MATIC,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0
   model S550,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model S600C,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SL 63 AMG,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model SL380,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SLK 200 KOMPRESSOR,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model SLK 280,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model SPRINTER,67,7,10,27,11,8,4,0,67,0,0,12,26,11,18
   model SPRINTER 211CDI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model SPRINTER 313 CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model SPRINTER 313CDI,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
   model SPRINTER 315 CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model SPRINTER\,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model V-KLASSE,12,2,1,9,0,0,0,0,12,0,0,2,10,0,0
   model V220D,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
   model VANEO 1.7 CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model VIANO,9,0,0,2,4,3,0,0,9,0,0,0,1,3,5
   model VIANO 2.2CDI,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"   model VIANO CDI 2,2 4-MATIC",1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model VIANO CDI 2.2,3,0,0,0,2,1,0,0,3,0,0,0,0,0,3
   model VIANO CDI 2.2 4-MATIC,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model VIANO CDI 3.0,2,0,0,0,2,0,0,0,2,0,0,0,0,1,1
   model VIANO CDI3.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
   model VITO,23,0,1,12,8,0,2,0,23,0,0,0,7,13,3
   model VITO 109CDI,2,0,0,0,2,0,0,0,2,0,0,0,0,1,1
   model VITO 110 CDI,2,0,0,0,0,1,1,0,2,0,0,0,0,0,2
   model VITO 110CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
   model VITO 111 CDI,2,0,0,0,1,1,0,0,2,0,0,0,0,0,2
   model VITO 111CDI,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
