MINISTERUL AFACERILOR INTERNE,,,,,,,,TOTAL,,,,,,,
DIRECTIA REGIM PERMISE DE CONDUCERE SI INMATRICULARE A VEHICULELOR,,,,,,,,,,,,,,,
PARC AUTO LA 31.12.2021,,,,,,,,,,,,,,,
CATEGORIA,Numar,Vechime (ani),,,,,,Carburant,,,,Vechime (ani),,,
,,0--2,3--5,6--10,11--15,16--20,>20,Benzina,Motorina,Electric,Hibrid01(benzina+electric),0--4,5--8,9--12,peste 12
,,,,,,,,,,,Hibrid02(motorina+electric),,,,
,,,,,,,,,,,Hibrid03(GPL+electric),,,,
"Mopede (L1e, L2e)   ",6749,21,60,291,3686,1815,876,6739,0,10,0,64,127,348,6210
"Motociclete(L3e, L4e, L5e, L6e, L7e)   ",169095,12203,10515,13970,36480,32629,63298,168038,727,309,8,19796,11308,13015,124976
"Autoturisme (M1, M1G)   ",7611039,236354,448327,791801,1784836,2199032,2150689,3706500,3768454,12433,83367,541531,597725,830785,5640998
"Autobuze si microbuze (M2, M3)   ",54351,1554,4690,8010,11961,11893,16243,117,53607,254,274,5163,6269,4355,38564
"Autovehicule transport marfuri (N), fara autotractoare   ",1030264,33378,60178,94037,203024,292539,347108,108792,920515,301,115,73805,75558,84828,796073
Autotractoare (N)   ,161100,7204,18944,44346,42683,25624,22299,8,160669,0,0,18828,35560,31531,75181
Semiremorci   ,147513,7753,13846,25650,33946,29223,37095,0,0,0,0,16853,20975,18244,91441
Remorci   ,390599,35804,46297,50001,47121,30298,181078,0,0,0,0,68474,47026,32591,242508
Vehicule pentru scopuri speciale   ,50327,2152,3141,4725,10366,9525,20418,3839,46436,3,5,4662,2969,5153,37543
Tractoare inmatriculate   ,40446,6,379,1296,1468,4866,32431,192,40252,0,2,250,874,1039,38283
TOTAL   ,9661483,336429,606377,1034127,2175571,2637444,2871535,3994225,4990660,13310,83771,749426,798391,1021889,7091777
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
total categorie    L1e,6719,21,57,286,3684,1811,860,6710,0,9,0,62,124,344,6189
 total marca ADLY,4,0,0,0,3,1,0,4,0,0,0,0,0,1,3
   model HER CHEE HCIC,2,0,0,0,1,1,0,2,0,0,0,0,0,0,2
   model SF-50,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
 total marca AEON,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model KL,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca APRILIA,342,2,1,7,39,104,189,342,0,0,0,2,3,8,329
   model ///,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
   model AMICO,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model AMIGO,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model AREA 51,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model ARENA 51,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CLASSIC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CLASSIC 50,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model CLASSIC 50 M,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model CLASSIC50M,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model ETX 125,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model EUROPA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model FACTORY,3,0,0,0,2,1,0,3,0,0,0,0,0,0,3
   model GULIVER,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model GULLIVER 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model HABANA,23,0,0,0,0,7,16,23,0,0,0,0,0,0,23
   model HABANA 50 CUSTOM,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model HABANA CUSTOM,3,0,0,0,0,2,1,3,0,0,0,0,0,0,3
   model MOJITO 50,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model MOJITO CUSTOM,4,0,0,0,1,3,0,4,0,0,0,0,0,0,4
   model RAILLY,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model RALLY,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model RALLY 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RED ROSE,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RED ROSE 50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model REPLICA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RS 125,16,0,0,0,6,10,0,16,0,0,0,0,0,0,16
   model RS 50,6,0,0,0,0,5,1,6,0,0,0,0,0,0,6
   model RS50,14,0,0,0,4,8,2,14,0,0,0,0,0,0,14
   model RX50,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RX50 ENDURO,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RX50C,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model RXV550,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model SCARABEO,19,0,0,0,0,3,16,19,0,0,0,0,0,0,19
   model SCARABEO 50,5,0,0,1,1,2,1,5,0,0,0,0,0,1,4
   model SONIC,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SPORT CITY,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model SPORT CITY ONE,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model SR,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
   model SR 50,16,2,0,0,0,6,8,16,0,0,0,2,0,0,14
   model SR 50 DITECH,4,0,0,0,0,1,3,4,0,0,0,0,0,0,4
   model SR SPORT,12,0,0,0,0,4,8,12,0,0,0,0,0,0,12
   model SR50,28,0,0,2,9,6,11,28,0,0,0,0,0,3,25
   model SR50 REPLICA,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model SR50 STREET,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model SR50IE,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model SX 50,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
   model SX50,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model nespecificat,141,0,0,1,13,43,84,141,0,0,0,0,1,2,138
 total marca ATALA,2,0,0,0,0,0,2,2,0,0,0,0,0,0,2
   model BYTE RT10,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca BAJAJ,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1
 total marca BAOTIAN,287,0,0,4,31,252,0,287,0,0,0,0,0,9,278
   model BT49QT-20B2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model BT49QT-9D1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model GOPOP,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0
   model MKS ECO-BIKE,3,0,0,0,0,3,0,3,0,0,0,0,0,0,3
   model REBEL49,4,0,0,0,4,0,0,4,0,0,0,0,0,1,3
   model RODKY49,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model TANCO49,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1
   model nespecificat,275,0,0,2,24,249,0,275,0,0,0,0,0,5,270
 total marca BEELINE,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model VELOCE,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
 total marca BEIGUANG,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model nespecificat,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
 total marca BENELLI,10,0,0,0,1,1,8,10,0,0,0,0,0,1,9
   model 50 NAKED,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1
   model PEPE,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
   model RACING,3,0,0,0,0,0,3,3,0,0,0,0,0,0,3
   model nespecificat,5,0,0,0,0,0,5,5,0,0,0,0,0,0,5
